2,Jane,Smith,janesmith@example.com,0987654321,2022-02-01,6000.00,0.05,1
6,David,Lee,davidlee@example.com,+345763764,2023-01-19,3452.00,0.01,4
7,Amy,Wilson,amywilson@example.com,+345356778,2010-08-23,4333.90,0.03,2
1,Smith,John,smith@gmail.com,+72345631,2021-12-01,3578.99,0.05,50
4,Sarah,Williams,sarahwilliams@example.com,7777777777,2022-04-01,5500.00,0.03,23
3,Mike,Johnson,mikejohnson@example.com,5555555555,2022-03-01,4500.00,0.05,50
8,Svetlana,Nikifirova,svetik@bk.ru,+456777732,2020-08-25,3421.00,0.07,52
9,Kirill,Kudritskiy,kudritskiy@gmail.com,+234416738,2013-12-12,7654.00,,80
10,Nastasia,Misnik,masik@mail.ru,3837477466,2015-03-01,8675.00,0.09,80
11,Maria,Kotick,mashka@mail.com,928.6635511,2004-12-19,6577.00,,50
5,Emily,Brown,emilybrown@example.com,999999.9999,2022-05-01,8002.00,0.04,51
12,Pavel,Priluchniy,pasha1990@mail.com,4355293,2021-09-15,8002.00,,51
